sat1,sat2,altitude,velocity,inclination,eccentricity,raan,perigee,anomaly
7049.0,42136.0,-0.246127888946223,-0.0483106699050139,0.1431859408554004,-0.3201785428473146,2.773243016933577,-0.5048860028870974,-1.1249357410827974
61295.0,60623.0,-0.3620750678862422,-0.4033010812914742,-0.7091242788634224,-0.3859731297143236,-0.990302757681086,0.7897405063976448,0.7361334513709191
38444.0,38401.0,-0.3623525438653219,-0.4405352372963356,-0.7091242788634219,-0.417907114228974,-0.9900819603787848,-1.297859091261213,-1.27788287849159
36861.0,28799.0,-0.1918836168075804,0.2103438744125242,-0.103392402082629,-0.0378622444789143,0.0299681221150146,1.7700702563198385,1.5498074743684953
61836.0,41224.0,-0.3611440337406103,-0.4136791270654378,-0.2621683677133502,-0.3774903478481851,0.938038287929724,-0.9336802066735276,-0.9371179021548176
31552.0,35332.0,-0.3433854721569541,-0.3319989190349575,-0.6917319549527051,-0.4113798013828056,-0.2359108596815257,-0.9745913324170488,-0.961220623391637
27142.0,19228.0,-0.3332126026484396,-0.3847971531064869,-0.0311963065389475,-0.3242732736038862,0.5412309664202678,-0.6073515664740184,0.1069547442590986
33554.0,39911.0,3.048069199185301,3.161587347685987,2.1410808633362843,3.2780794665187387,-0.3183753066772697,-0.085482674128796,0.7016362750577236
40434.0,32360.0,-0.3620044319746293,-0.4162384866981727,-0.6658457054111697,-0.3872121277081244,1.6279228043827971,-0.4922863228693525,-0.4948509903226227
43285.0,31978.0,3.79140262526416,2.597059652374341,3.721260065950493,-0.3674944817567581,-0.9283992231087024,1.2632451975801986,-0.0846974452528442
54956.0,60960.0,-0.3579292321133794,-0.3878521979117078,-0.26571318418849,-0.3745138675448369,2.2780281220092,-0.9638486629464872,-0.9696788457675632
48345.0,30012.0,3.907587116013969,3.638011453759756,0.86241556975176,3.231621583141009,-0.8671034386865927,0.0525482826338359,1.620229499137907
41825.0,48820.0,-0.3392307808219371,-0.3633690507830013,0.7864792383631556,-0.3809300499111819,-0.240947937532503,-1.001227827453209,-1.002280082186786
40450.0,17118.0,-0.357529097487776,-0.4079979500972843,-0.7024391185622292,-0.3607320852032708,-0.9962888178768008,-1.278456061941011,0.6545917010085391
2381.0,42599.0,-0.1391727652851866,0.0370103022140705,-0.0610727469332684,-0.2852573924062563,-0.9595940904550032,-0.7843490221265345,2.002314204019776
54284.0,41513.0,-0.3614219682128668,-0.4339474125049731,-0.7049159454583207,-0.4143845985872626,-0.9896727047730044,-0.99322515883903,-0.9863502666962428
61803.0,42402.0,-0.3610039987493411,-0.4226827752467436,-0.2523655867686379,-0.4021233804071269,0.0300863267313978,0.7483082343118387,0.689863152602961
33850.0,41691.0,0.919790709469356,1.8841472307108609,0.2904003512133564,2.6206871131231537,-0.996161692157294,1.7539829921555756,-0.7804975853879728
54984.0,33884.0,-0.3456826599234546,-0.4406299664188914,-0.139190503845037,-0.3105262195372649,0.4549828565623666,1.2073824060339873,1.010096221552619
42272.0,36691.0,-0.36184105005847,-0.4161972888351722,-0.6974491076779936,-0.3627586136165898,-0.9720423747256388,0.6504385442543745,0.588569215108542
61096.0,60766.0,-0.3620538625263722,-0.4413257065411783,-0.7088197882174807,-0.4186134339132364,-1.0012188424902997,-1.2677543559384017,-1.2490582759335371
42123.0,31522.0,-0.3605293414311784,-0.4396768357056203,0.0084829148000848,-0.4082131169889905,-0.053815533005083,1.7047585581659013,1.6055934094337163
39860.0,20974.0,-0.3610064641818255,-0.4282827976869823,0.5522532174500349,-0.410515868758409,2.1291828618110817,-0.7919397803129672,-1.1999729256860154
30816.0,29987.0,-0.3590311200779265,-0.423283730780482,-0.7082653425636763,-0.4052067169410745,1.0472392809859143,0.6645606998310238,1.3867305076123544
